Market,Method,Utility,CAGR,Sharpe,MDD,CVaR95,Trade Rate,Wealth
DAX,CFPL (Ours),0.19605294767331996,12.502361333077005,0.934600913927546,17.250655778378253,2.3377439305063197,67.53424657534246,2.347244022067951
DAX,Ordinary Label,0.040617891726530075,2.985068884275115,0.36389842397314404,21.745033757557444,0.07215380226574,4.931506849315065,1.2501997731929924
DAX,SL-adjusted Label,0.028278054258709998,2.06148395886411,0.435858181819045,14.842539240798244,0.064469648749415,6.02739726027397,1.1709317110688722
DAX,Triple-Barrier,0.053978576884014993,3.52334255609287,0.5356089588960461,15.640894791703008,0.05673351980823,5.342465753424655,1.3241294962973496
DAX,Trend-Scanning,0.102591431812015,6.14379893333356,0.7742775521922904,10.89176467021373,0.06117575916239,7.80821917808219,1.5703388525359379
DAX,Direct Utility Ridge,0.024173724114648593,1.87926615326503,0.273299552060562,16.037530132318643,0.08143386434710999,5.616438356164374,1.146944644529966
Nikkei 225,CFPL (Ours),0.11761301715228,7.856996860920843,0.6905254276025536,13.742276276620796,2.908772051997326,43.35164835164835,1.7702250830429005
Nikkei 225,Ordinary Label,0.05336321150128686,3.78566187843485,0.38675723145117513,9.193674913803083,1.1738969369027341,18.681318681318675,1.3707042712228847
Nikkei 225,SL-adjusted Label,0.02957067785432163,2.4083079131770257,0.25857479685258977,9.311366460089147,1.3102560734449642,18.186813186813183,1.2111445530987917
Nikkei 225,Triple-Barrier,0.05122748070927442,3.6788058712319374,0.35396691064446173,10.070598508802114,1.7281438544985512,21.428571428571423,1.3215582282742449
Nikkei 225,Trend-Scanning,0.04005165014762044,3.194246761660366,0.30661748686337276,9.979311150518408,1.4119052603941187,21.318681318681314,1.3346065368392233
Nikkei 225,Direct Utility Ridge,0.08021007609614,5.370714810999566,0.5381864014875324,12.344901306610675,2.2374222035857665,27.36263736263736,1.4927342308632734
KOSPI 200,CFPL (Ours),0.144451469556332,9.856757868056377,0.7065868225022486,22.890649852744687,3.240740771621456,59.73520999548396,2.05750561765325
KOSPI 200,Ordinary Label,0.056974048755914,5.655112511517748,0.4031642036308689,34.91422841988158,4.230846520858444,64.49781725124191,1.5279489395272667
KOSPI 200,SL-adjusted Label,0.051994744478908,4.726196847636379,0.3663464498968462,27.658659238586797,3.51978918505463,46.08264338401325,1.4350443066715186
KOSPI 200,Triple-Barrier,0.03819499828854445,4.306661780281264,0.3366094915663932,30.687105852943475,3.8737955397993504,51.39680867078128,1.3808413394121337
KOSPI 200,Trend-Scanning,0.052045432446448,4.894780893983451,0.37113921256589355,33.20097873318729,4.673198751230544,46.36158362185759,1.4901005366414135
KOSPI 200,Direct Utility Ridge,0.08917625405894002,6.7188139432766025,0.530672616702755,26.17591108112976,3.7868186622117004,46.891765768478095,1.6159055837547676
S&P 500,CFPL (Ours),0.26675414951065196,16.073382456798665,1.324470978417945,11.836408856590781,2.377058442218092,74.41595441595442,2.838369436835854
S&P 500,Ordinary Label,0.11249298437683601,8.021710095744602,0.610929837726852,26.472473206142837,5.107712026792462,76.46723646723646,1.7259656373073677
S&P 500,SL-adjusted Label,0.07815605997007552,6.214563023877662,0.49571172593598156,26.811935843923106,5.35229637697946,74.41595441595442,1.539403982390936
S&P 500,Triple-Barrier,0.073097345962676,6.058522930622709,0.4732024058307348,28.822783799012786,5.532286174635388,71.62393162393163,1.5290980393227265
S&P 500,Trend-Scanning,0.07453253015580016,5.446078387999663,0.45830777086628416,21.35405809150664,3.7883015222638825,44.729344729344724,1.5831499435156735
S&P 500,Direct Utility Ridge,0.160906267011638,10.947691546157454,0.7697424998509652,24.009692588359087,5.256630693683427,82.73504273504274,2.0679294083994884
